Category,Prompt
Crowds,The sound of a crowd cheering at a sports event.
Crowds,The sound of people clapping and applauding in a theater.
Crowds,The sound of a busy urban street with pedestrian chatter.
Crowds,The sound of a festival with music and crowd noises.
Crowds,The sound of a protest with chants and shouts.
Crowds,The sound of an audience laughing during a comedy show.
Crowds,The sound of a crowded restaurant with conversation and utensils.
Crowds,The sound of a train station with announcements and foot traffic.
Crowds,The sound of a marketplace with vendors calling out.
Crowds,The sound of a concert crowd cheering for an encore.
Laser,The sound of a laser gun firing in a sci-fi battle.
Laser,The sound of a laser beam cutting through metal.
Laser,The sound of a futuristic door being unlocked by a laser.
Laser,The sound of a laser printer printing a document.
Laser,The sound of a laser scanning a barcode.
Laser,The sound of a laser security alarm being triggered.
Laser,The sound of a laser light show with pulsating beams.
Laser,The sound of a laser sword clashing in a duel.
Laser,The sound of a laser-guided missile locking onto its target.
Laser,The sound of a high-tech laser operating in a lab.
